date,open,high,low,close,volume
12/12/1980,0.1006,0.101,0.1006,0.1006,469033600
12/15/1980,0.0958,0.0958,0.0953,0.0953,175884800
12/16/1980,0.0888,0.0888,0.0883,0.0883,105728000
12/17/1980,0.0905,0.091,0.0905,0.0905,86441600
12/18/1980,0.0932,0.0936,0.0932,0.0932,73449600
12/19/1980,0.0988,0.0993,0.0988,0.0988,48630400
12/22/1980,0.1037,0.1041,0.1037,0.1037,37363200
12/23/1980,0.108,0.1084,0.108,0.108,46950400
12/24/1980,0.1137,0.1141,0.1137,0.1137,48003200
12/26/1980,0.1242,0.1246,0.1242,0.1242,55574400
12/29/1980,0.1259,0.1264,0.1259,0.1259,93161600
12/30/1980,0.1233,0.1233,0.1229,0.1229,68880000
12/31/1980,0.1198,0.1198,0.1194,0.1194,35750400
1/2/1981,0.1207,0.1216,0.1207,0.1207,21660800
1/5/1981,0.1185,0.1185,0.1181,0.1181,35728000
1/6/1981,0.1132,0.1132,0.1128,0.1128,45158400
1/7/1981,0.1084,0.1084,0.108,0.108,55686400
1/8/1981,0.1062,0.1062,0.1058,0.1058,39827200
1/9/1981,0.1115,0.1119,0.1115,0.1115,21504000
1/12/1981,0.1115,0.1115,0.1106,0.1106,23699200
1/13/1981,0.1072,0.1072,0.1067,0.1067,23049600
1/14/1981,0.1072,0.1076,0.1072,0.1072,14291200
1/15/1981,0.1093,0.1102,0.1093,0.1093,14067200
1/16/1981,0.1089,0.1089,0.1084,0.1084,13395200
1/19/1981,0.115,0.1154,0.115,0.115,41574400
1/20/1981,0.1119,0.1119,0.1115,0.1115,30083200
1/21/1981,0.1137,0.1146,0.1137,0.1137,15904000
1/22/1981,0.115,0.1159,0.115,0.115,35548800
1/23/1981,0.115,0.1154,0.1146,0.1146,11222400
1/26/1981,0.1132,0.1132,0.1128,0.1128,24640000
1/27/1981,0.1128,0.1128,0.1119,0.1119,23699200
1/28/1981,0.1089,0.1089,0.1084,0.1084,28156800
1/29/1981,0.1049,0.1049,0.1045,0.1045,43904000
1/30/1981,0.0997,0.0997,0.0988,0.0988,46188800
2/2/1981,0.0936,0.0936,0.0932,0.0932,23766400
2/3/1981,0.0966,0.0971,0.0966,0.0966,19152000
2/4/1981,0.1001,0.1006,0.1001,0.1001,27865600
2/5/1981,0.1001,0.101,0.1001,0.1001,7929600
2/6/1981,0.1006,0.101,0.1006,0.1006,13865600
2/9/1981,0.0962,0.0962,0.0953,0.0953,16755200
2/10/1981,0.0953,0.0958,0.0953,0.0953,18345600
2/11/1981,0.0927,0.0927,0.0922,0.0922,13843200
2/12/1981,0.0918,0.0918,0.0914,0.0914,14560000
2/13/1981,0.0901,0.0901,0.0892,0.0892,11155200
2/17/1981,0.0914,0.0918,0.0914,0.0914,12275200
2/18/1981,0.0953,0.0962,0.0953,0.0953,19241600
2/19/1981,0.0901,0.0901,0.0897,0.0897,22310400
2/20/1981,0.0853,0.0853,0.0848,0.0848,24371200
2/23/1981,0.0861,0.0866,0.0861,0.0861,14112000
2/24/1981,0.084,0.084,0.0831,0.0831,16979200
2/25/1981,0.0883,0.0888,0.0883,0.0883,19488000
2/26/1981,0.0897,0.0901,0.0897,0.0897,10841600
2/27/1981,0.0927,0.0936,0.0927,0.0927,14761600
3/2/1981,0.0932,0.0936,0.0932,0.0932,11760000
3/3/1981,0.0922,0.0922,0.0918,0.0918,16172800
3/4/1981,0.0914,0.0914,0.091,0.091,13708800
3/5/1981,0.091,0.091,0.0905,0.0905,5376000
3/6/1981,0.0905,0.0905,0.0897,0.0897,11603200
3/9/1981,0.0831,0.0831,0.0827,0.0827,15321600
3/10/1981,0.0792,0.0792,0.0787,0.0787,28380800
3/11/1981,0.0765,0.0765,0.0756,0.0756,29859200
3/12/1981,0.0787,0.0792,0.0787,0.0787,59248000
3/13/1981,0.0783,0.0783,0.0778,0.0778,231302400
